LcmsUnit,UnitLongDesc,InstrLvl,Total
X321,Crotona Academy High School,4,2738016.97
X324,Bronx Early College Academy for Teaching & Learning,4,9464486.45
X327,Comprehensive Model School Project M.S. 327,4,12691358.18
X329,DreamYard Preparatory School,4,6401354.57
X332,Holcombe L. Rucker School of Community Research,4,5370455.2
X334,International Community High School,4,9145475.21
X342,International School for Liberal Arts,4,11452514.91
X348,Schuylerville Preparatory High School,4,3756118.39
X349,Bronx River High School,4,4206212.99
X351,Bronx Collaborative High School,4,4642102.66
X353,World View High School,4,3641001.41
X365,Academy for Language and Technology,4,5848554.23
X367,"Archimedes Academy for Math, Science and Technolog",4,13662830.29
X368,In-Tech Academy (M.S. / High School 368),4,19823612.23
X372,Urban Assembly School for Wildlife Conservation,4,11507682.76
X374,Knowledge and Power Prep. Academy International (KAPPA),4,8995634.65
X376,Antonia Pantoja Preparatory Academy: A College Board School,4,9870195.35
X377,Bronx Community High School,4,3926163.88
X379,Jill Chaifetz Transfer High School,4,4158794.43
X381,Bronx Haven High School,4,3649851.84
X388,Pan American International High School at Monroe,4,8413730.53
X397,English Language Learners and International Support Prep,4,7320573.3
X403,Bronx International High School,4,8718830.94
X404,School for Excellence,4,9407307.2
X405,Herbert H. Lehman High School,4,33357442
X408,Herbert H. Lehman Yabc,4,4087617.7
X412,Bronx High School of Business,4,10452685.78
X413,Bronx High School for Medical Science,4,9612820.63
X414,Jonathan Levin High School for Media and Communications,4,6093595.94
X417,C Columbus Hs Yabc,4,3877870.33
X418,Bronx High School for the Visual Arts,4,11092117.91
X427,Community School for Social Justice,4,7808144.8
X428,Learning To Work Yabc At Monroe Academy,4,3667452.69
X432,BRONX BRIDGES HIGH SCHOOL,4,7922006.02
X433,High School for Teaching and the Professions,4,10384866.65
X434,Belmont Preparatory High School,4,8601852.01
X437,Fordham High School for the Arts,4,8248787.74
X438,Fordham Leadership Academy for Business and Technology,4,11162195.32
X439,Bronx High School for Law and Community Service,4,9092411.12
X440,DeWitt Clinton High School,4,44315631.94
X442,"Celia Cruz Bronx High School of Music, The",4,8431117.16
X445,Bronx High School of Science,4,43338038.03
